 a, b
 1970, 23608
 1971, 26364
 1972, 29078
 1973, 32810
 1974, 37736
 1975, 42887
 1976, 48713
 1977, 54654
 1978, 60086
 1979, 66061
 1980, 77895
 1981, 89028
 1982, 98256
 1983, 108929
 1984, 122340
 1985, 135421
 1986, 139648
 1987, 151634
 1988, 157759
 1989, 167649
 1990, 176792
 1991, 185391
 1992, 189691
 1993, 198377
 1994, 206900
 1995, 220945
 1996, 240719
 1997, 259092
 1998, 262482
 1999, 283665
 2000, 335626
 2001, 346565
 2002, 343978
 2003, 354965
 2004, 388296
 2005, 430427
 2006, 475536
 2007, 499065
 2008, 546765
 2009, 502924
 2010, 530036
 2011, 563827
 2012, 590617
 2013, 604552
 2014, 611359
 2015, 599389
 2016, 591684
 2017, 624484
 2018, 664483
