 a, b
 1970, 3306.22
 1971, 3736.35
 1972, 4413.58
 1973, 5689.59
 1974, 6811.53
 1975, 8204.45
 1976, 8927.20
 1977, 10266.12
 1978, 11462.64
 1979, 13046.54
 1980, 15772.24
 1981, 15512.51
 1982, 15224.89
 1983, 14927.52
 1984, 14989.49
 1985, 15753.55
 1986, 18883.27
 1987, 22505.90
 1988, 24207.28
 1989, 24281.10
 1990, 28242.94
 1991, 28596.93
 1992, 30523.99
 1993, 27963.67
 1994, 29315.84
 1995, 34875.70
 1996, 37321.97
 1997, 36629.03
 1998, 34788.36
 1999, 36371.05
 2000, 38131.46
 2001, 38542.72
 2002, 43084.47
 2003, 50134.89
 2004, 57603.84
 2005, 66810.48
 2006, 74148.32
 2007, 85139.96
 2008, 96944.10
 2009, 79977.70
 2010, 87693.79
 2011, 100600.56
 2012, 101524.14
 2013, 102913.45
 2014, 97019.18
 2015, 74355.52
 2016, 70460.56
 2017, 75496.75
 2018, 81697.25
